case_id,item_id,concept_id,misconception_id,move,level,targets,wrong_answer,text,violations,seconds
ca_anti_p1|antiderivative_omits_constant|hint|nudge,ca_anti_p1,antiderivative,antiderivative_omits_constant,hint,nudge,,x**3,The expression should include a constant term to represent all possible antiderivatives.,,0.0
ca_anti_p1|antiderivative_omits_constant|hint|targeted,ca_anti_p1,antiderivative,antiderivative_omits_constant,hint,targeted,,x**3,The expression is missing the constant of integration that represents all possible antiderivatives.,,0.0
ca_anti_p1|antiderivative_omits_constant|hint|worked_step,ca_anti_p1,antiderivative,antiderivative_omits_constant,hint,worked_step,,x**3,"The Power Rule for integration states that the antiderivative of x^n is (x^(n+1))/(n+1).
Identify the exponent n as 2.
Calculate the new exponent: 2 + 1.
Determine the denominator: 2 + 1.
Add the constant of integration C.",,0.0
ca_anti_p1|antiderivative_omits_constant|reflect,ca_anti_p1,antiderivative,antiderivative_omits_constant,reflect,targeted,,x**3,Take another look at your expression for the general antiderivative. Which part of your result are you least sure about?,,0.0
ca_anti_p1|antiderivative_omits_constant|remediate|nudge,ca_anti_p1,antiderivative,antiderivative_omits_constant,remediate,nudge,antiderivative_omits_constant,x**3,The expression should include an arbitrary constant to represent all possible antiderivatives.,,0.0
ca_anti_p1|antiderivative_omits_constant|remediate|targeted,ca_anti_p1,antiderivative,antiderivative_omits_constant,remediate,targeted,antiderivative_omits_constant,x**3,The expression represents a specific antiderivative rather than the general antiderivative. The result should include an arbitrary constant to account for all possible functions whose derivative is 3x^2.,,0.0
ca_anti_p1|antiderivative_omits_constant|remediate|worked_step,ca_anti_p1,antiderivative,antiderivative_omits_constant,remediate,worked_step,antiderivative_omits_constant,x**3,"To find the general antiderivative of 3x^2, you can use the Power Rule for integration.

The rule states that the integral of x^n is (x^(n+1)) / (n+1).

For the term 3x^2, identify the constant coefficient: 3.

Identify the exponent: 2.

Calculate the new exponent: 2 + 1.

Add the constant of integration: C.",,0.0
ca_anti_post1|antiderivative_omits_constant|hint|nudge,ca_anti_post1,antiderivative,antiderivative_omits_constant,hint,nudge,,x**5,The expression should include a constant term to represent all possible antiderivatives.,,0.0
ca_anti_post1|antiderivative_omits_constant|hint|targeted,ca_anti_post1,antiderivative,antiderivative_omits_constant,hint,targeted,,x**5,The expression is missing the constant of integration that represents all possible antiderivatives.,,0.0
ca_anti_post1|antiderivative_omits_constant|hint|worked_step,ca_anti_post1,antiderivative,antiderivative_omits_constant,hint,worked_step,,x**5,"The Power Rule for integration states that the antiderivative of x^n is (x^(n+1))/(n+1).
Identify the exponent n as 4.
Calculate the new exponent: 4 + 1.
Determine the denominator: 4 + 1.
Add the constant of integration C.",,0.0
ca_anti_post1|antiderivative_omits_constant|reflect,ca_anti_post1,antiderivative,antiderivative_omits_constant,reflect,targeted,,x**5,Take another look at your expression for the general antiderivative. Which part of your result are you least sure about?,,0.0
ca_anti_post1|antiderivative_omits_constant|remediate|nudge,ca_anti_post1,antiderivative,antiderivative_omits_constant,remediate,nudge,antiderivative_omits_constant,x**5,The expression should include an arbitrary constant to represent all possible antiderivatives.,,0.0
ca_anti_post1|antiderivative_omits_constant|remediate|targeted,ca_anti_post1,antiderivative,antiderivative_omits_constant,remediate,targeted,antiderivative_omits_constant,x**5,The expression represents a specific antiderivative rather than the general antiderivative. The result should include an arbitrary constant to account for all possible functions whose derivative is 5x^4.,,0.0
ca_anti_post1|antiderivative_omits_constant|remediate|worked_step,ca_anti_post1,antiderivative,antiderivative_omits_constant,remediate,worked_step,antiderivative_omits_constant,x**5,"To find the general antiderivative of 5x^4, you can use the Power Rule for integration.

The rule states that the integral of x^n is (x^(n+1)) / (n+1).

For the term 5x^4, identify the constant coefficient: 5.

Identify the exponent: 4.

Calculate the new exponent: 4 + 1.

Include the constant of integration: C.",,0.0
ca_anti_pre1|antiderivative_omits_constant|hint|nudge,ca_anti_pre1,antiderivative,antiderivative_omits_constant,hint,nudge,,x**4,The expression should include a constant term to represent all possible antiderivatives.,,0.0
ca_anti_pre1|antiderivative_omits_constant|hint|targeted,ca_anti_pre1,antiderivative,antiderivative_omits_constant,hint,targeted,,x**4,The expression is missing the constant of integration that represents all possible antiderivatives.,,0.0
ca_anti_pre1|antiderivative_omits_constant|hint|worked_step,ca_anti_pre1,antiderivative,antiderivative_omits_constant,hint,worked_step,,x**4,"The Power Rule for integration states that the antiderivative of x^n is (x^(n+1))/(n+1).
Identify the exponent n as 3.
Calculate the new exponent: 3 + 1.
Determine the denominator: 3 + 1.
Add the constant of integration C.",,0.0
ca_anti_pre1|antiderivative_omits_constant|reflect,ca_anti_pre1,antiderivative,antiderivative_omits_constant,reflect,targeted,,x**4,Take another look at your expression for the general antiderivative. Which part of your result are you least sure about?,,0.0
ca_anti_pre1|antiderivative_omits_constant|remediate|nudge,ca_anti_pre1,antiderivative,antiderivative_omits_constant,remediate,nudge,antiderivative_omits_constant,x**4,The expression should include an arbitrary constant to represent all possible antiderivatives.,,0.0
