case_id,item_id,kind,response,expected,actual,agrees,known_limitation,detail
gv_lim_canonical,ca_lim_p1,canonical,4,correct,correct,True,,
gv_lim_unevaluated_quotient,ca_lim_p1,equivalent,8/2,correct,correct,True,,
gv_lim_decimal,ca_lim_p1,equivalent,4.0,correct,correct,True,,
gv_lim_zero,ca_lim_p1,wrong,0,incorrect,incorrect,True,,
gv_lim_prose,ca_lim_p1,unreadable,the limit does not exist,unparseable,unparseable,True,,"could not parse 'the limit does not exist': invalid syntax (<string>, line 1)"
gv_avg_unsimplified,ca_avg_p1,equivalent,(9 - 1)/(3 - 1),correct,correct,True,,
gv_avg_endpoint_difference,ca_avg_p1,wrong,8,incorrect,incorrect,True,,
gv_fp_canonical,ca_fp_p1,canonical,x**2 + 2*x*h + h**2,correct,correct,True,,
gv_fp_student_notation,ca_fp_p1,equivalent,x^2 + 2xh + h^2,correct,correct,True,,
gv_fp_reordered,ca_fp_p1,equivalent,h**2 + 2*h*x + x**2,correct,correct,True,,
gv_fp_middle_term_lost,ca_fp_p1,wrong,x**2 + h**2,incorrect,incorrect,True,,
gv_fp_restates_the_question,ca_fp_p1,wrong,(x + h)**2,incorrect,correct,False,"This item asks for a rewrite, so its answer is a form rather than a value. An equivalence verifier cannot distinguish the two, and accepts the unexpanded input. The buggy rules never produce this response, so no simulated learner reaches it; a human-facing run would need the item reworded or a form-sensitive check.",
gv_pow_canonical,ca_pow_p1,canonical,5*x**4,correct,correct,True,,
gv_pow_student_notation,ca_pow_p1,equivalent,5x^4,correct,correct,True,,
gv_pow_commuted,ca_pow_p1,equivalent,x**4*5,correct,correct,True,,
gv_pow_repeated_factors,ca_pow_p1,equivalent,5*x*x*x*x,correct,correct,True,,
gv_pow_negative_exponent_form,ca_pow_p1,equivalent,5/x**(-4),correct,correct,True,,
gv_pow_forgets_decrement,ca_pow_p1,wrong,5*x**5,incorrect,incorrect,True,,
gv_pow_drops_coefficient,ca_pow_p1,wrong,x**4,incorrect,incorrect,True,,
gv_pow_truncated,ca_pow_p1,unreadable,5x^,unparseable,unparseable,True,,"could not parse '5x^': invalid syntax (<string>, line 1)"
gv_pow2_factored_coefficient,ca_pow_p2,equivalent,3*4*x**2,correct,correct,True,,
gv_pow2_repeated_factors,ca_pow_p2,equivalent,12*x*x,correct,correct,True,,
gv_pow2_forgets_decrement,ca_pow_p2,wrong,12*x**3,incorrect,incorrect,True,,
gv_pow_pretest_student_notation,ca_pow_pre1,equivalent,7x^6,correct,correct,True,,
gv_pow_pretest_forgets_decrement,ca_pow_pre1,wrong,7*x**7,incorrect,incorrect,True,,
gv_neg_canonical,ca_neg_p1,canonical,-4/x**3,correct,correct,True,,
gv_neg_exponent_form,ca_neg_p1,equivalent,-4*x**(-3),correct,correct,True,,
gv_neg_unreduced_fraction,ca_neg_p1,equivalent,-8/(2*x**3),correct,correct,True,,
gv_neg_bracketed_sign,ca_neg_p1,equivalent,-(4/x^3),correct,correct,True,,
gv_neg_sign_error,ca_neg_p1,wrong,4/x**3,incorrect,incorrect,True,,
gv_neg_exponent_not_decremented,ca_neg_p1,wrong,-4/x**2,incorrect,incorrect,True,,
gv_poly_canonical,ca_poly_p1,canonical,3*x**2 - 6*x,correct,correct,True,,
gv_poly_factored,ca_poly_p1,equivalent,3*x*(x - 2),correct,correct,True,,
gv_poly_reordered,ca_poly_p1,equivalent,-6*x + 3*x**2,correct,correct,True,,
gv_poly_constant_survives,ca_poly_p1,wrong,3*x**2 - 6*x + 4,incorrect,incorrect,True,,
gv_poly_coefficient_error,ca_poly_p1,wrong,3*x**2 - 3*x,incorrect,incorrect,True,,
gv_poly_garbled,ca_poly_p1,unreadable,2 **/ x,unparseable,unparseable,True,,"could not parse '2 **/ x': invalid syntax (<string>, line 1)"
gv_stat_canonical,ca_stat_p1,canonical,"0, 2",correct,correct,True,,
gv_stat_reordered,ca_stat_p1,equivalent,"2, 0",correct,correct,True,,
gv_stat_unreduced,ca_stat_p1,equivalent,"0, 4/2",correct,correct,True,,
gv_stat_cancels_x,ca_stat_p1,wrong,2,incorrect,incorrect,True,,"expected 2 value(s), got 1"
gv_stat_extra_root,ca_stat_p1,wrong,"0, 2, 5",incorrect,incorrect,True,,"expected 2 value(s), got 3"
gv_stat_relation,ca_stat_p1,unreadable,x > 2,unparseable,unparseable,True,,'x > 2' is not an expression
gv_stat_written_as_equations,ca_stat_p1,equivalent,x = 0 or x = 2,correct,unparseable,False,"The parser reads expressions, so an equation or a prose connective comes back unparseable. The failure is the safe direction — no evidence is recorded and the learner is not charged with an error — but the step is wasted.","could not parse 'x = 0 or x = 2': invalid syntax (<string>, line 1)"
gv_prod_canonical,ca_prod_p1,canonical,2*x*(x**3 + 2) + (x**2 + 1)*3*x**2,correct,correct,True,,
gv_prod_expanded,ca_prod_p1,equivalent,5*x**4 + 3*x**2 + 4*x,correct,correct,True,,
gv_prod_reordered,ca_prod_p1,equivalent,3*x**2*(x**2 + 1) + 2*x*(x**3 + 2),correct,correct,True,,
gv_prod_product_of_derivatives,ca_prod_p1,wrong,2*x*3*x**2,incorrect,incorrect,True,,
gv_prod_sign_error,ca_prod_p1,wrong,2*x*(x**3 + 2) - (x**2 + 1)*3*x**2,incorrect,incorrect,True,,
gv_prod_prose,ca_prod_p1,unreadable,no idea,unparseable,unparseable,True,,"unknown symbol(s) in 'no idea': d, e, i, o"
gv_quot_canonical,ca_quot_p1,canonical,(2*x*(x + 1) - x**2)/(x + 1)**2,correct,correct,True,,
gv_quot_numerator_expanded,ca_quot_p1,equivalent,(x**2 + 2*x)/(x + 1)**2,correct,correct,True,,
gv_quot_numerator_factored,ca_quot_p1,equivalent,x*(x + 2)/(x + 1)**2,correct,correct,True,,
gv_quot_order_swapped,ca_quot_p1,wrong,(x**2 - 2*x*(x + 1))/(x + 1)**2,incorrect,incorrect,True,,
gv_quot_derivative_over_derivative,ca_quot_p1,wrong,2*x,incorrect,incorrect,True,,
gv_quot_posttest_collected,ca_quot_post1,equivalent,(x**2 + 6*x)/(x + 3)**2,correct,correct,True,,
gv_chain_canonical,ca_chain_p1,canonical,6*x*(x**2 + 1)**2,correct,correct,True,,
gv_chain_student_notation,ca_chain_p1,equivalent,3*(x^2 + 1)^2*2x,correct,correct,True,,
gv_chain_expanded,ca_chain_p1,equivalent,6*x**5 + 12*x**3 + 6*x,correct,correct,True,,
gv_chain_repeated_factor,ca_chain_p1,equivalent,6*x*(x*x + 1)**2,correct,correct,True,,
gv_chain_omits_inner,ca_chain_p1,wrong,3*(x**2 + 1)**2,incorrect,incorrect,True,,
gv_chain_inner_not_squared,ca_chain_p1,wrong,6*x*(x**2 + 1),incorrect,incorrect,True,,
gv_chain_apostrophe,ca_chain_p1,unreadable,I don't know,unparseable,unparseable,True,,"could not parse ""I don't know"": ('unterminated string literal (detected at line 1)', (1, 6))"
gv_chain2_unmultiplied,ca_chain_p2,equivalent,4*(3*x + 1)**3*3,correct,correct,True,,
gv_chain2_expanded,ca_chain_p2,equivalent,324*x**3 + 324*x**2 + 108*x + 12,correct,correct,True,,
gv_chain2_omits_inner,ca_chain_p2,wrong,4*(3*x + 1)**3,incorrect,incorrect,True,,
gv_impl_canonical,ca_impl_p1,canonical,-x/y,correct,correct,True,,
gv_impl_unreduced,ca_impl_p1,equivalent,-2*x/(2*y),correct,correct,True,,
gv_impl_sign_on_denominator,ca_impl_p1,equivalent,x/(-y),correct,correct,True,,
gv_impl_omits_dydx,ca_impl_p1,wrong,-x,incorrect,incorrect,True,,
gv_impl_sign_error,ca_impl_p1,wrong,x/y,incorrect,incorrect,True,,
gv_impl_written_as_equation,ca_impl_p1,equivalent,dy/dx = -x/y,correct,unparseable,False,"Same cause as gv_stat_written_as_equations: the parser reads one expression, and an equals sign is a syntax error. Unparseable rather than wrong, so nothing false enters the learner model.","could not parse 'dy/dx = -x/y': invalid syntax (<string>, line 1)"
gv_impl_posttest_omits_dydx,ca_impl_post1,wrong,-x,incorrect,incorrect,True,,
gv_anti_canonical,ca_anti_p1,canonical,x**3 + C,correct,correct,True,,
gv_anti_constant_first,ca_anti_p1,equivalent,C + x**3,correct,correct,True,,
gv_anti_repeated_factors,ca_anti_p1,equivalent,x*x*x + C,correct,correct,True,,
